"代號","名稱","股價日期","成交","漲跌價","漲跌幅","股利發放期別","股利發放頻率","現金股利","股票股利","合計股利","除息價","除息價年化現金殖利率","除權價","除權價年化股票殖利率","除權息年化合計殖利率","除息交易日","除權交易日","現金股利發放日"
="00920","富邦ESG綠色電力","04/10","23.32","+0.61","+2.69","2025","年","0.206","0","0.206","12.68","1.62","","0","1.62","'25/01/17","","'25/02/18"
="00921","兆豐龍頭等權重","04/10","19.16","+0.15","+0.79","26Q1","季","0.27","0","0.27","19.01","5.68","","0","5.68","'26/03/17","","'26/04/07"
="00922","國泰台灣領袖50","04/10","29.9","+0.55","+1.87","26H1","半年","2","0","2","30.81","13","","0","13","'26/03/17","","'26/04/14"
="00923","群益台ESG低碳50","04/10","30.9","+0.59","+1.95","26H1","半年","1.71","0","1.71","32.49","10.5","","0","10.5","'26/02/26","","'26/03/25"
="00924","復華S&P500成長","04/10","28.49","+0.26","+0.92","","無","0","0","0","","","","","","","",""
="00926","凱基全球菁英55","04/10","23.41","+0.13","+0.56","2025","年","1.47","0","1.47","24.52","6","","0","6","'25/12/16","","'26/01/13"
="00927","群益半導體收益","04/10","26.11","+0.55","+2.15","26Q2","季","0.94","0","0.94","26.11","14.4","","0","14.4","'26/04/20","","'26/05/15"
="00928","中信上櫃ESG30","04/10","27.31","+0.62","+2.32","26H1","半年","0.5","0","0.5","21.21","4.71","","0","4.71","'26/01/19","","'26/02/23"
="00929","復華台灣科技優息","04/10","20.01","+0.36","+1.83","26M04","月","0.13","0","0.13","20.01","7.8","","0","7.8","'26/04/21","","'26/05/18"
="00930","永豐ESG低碳高息","04/10","17.66","+0.15","+0.86","26M03","雙月","0.15","0","0.15","17.77","5.06","","0","5.06","'26/03/23","","'26/04/20"
"00931B","統一美債20年","04/10","13.77","-0.05","-0.36","26Q2","季","0.121","0","0.121","13.77","3.51","","0","3.51","'26/04/20","","'26/05/13"
="00932","兆豐永續高息等權","04/10","15.1","+0.1","+0.67","26Q1","季","0.22","0","0.22","15.18","5.8","","0","5.8","'26/02/26","","'26/03/18"
"00933B","國泰10Y+金融債","04/10","16.2","0","0","26M04","月","0.072","0","0.072","16.2","5.33","","0","5.33","'26/04/20","","'26/05/15"
="00934","中信成長高股息","04/10","21.81","+0.29","+1.35","26M04","月","0.143","0","0.143","21.81","7.87","","0","7.87","'26/04/20","","'26/05/15"
="00935","野村臺灣新科技50","04/10","41.13","+1.03","+2.57","26H1","半年","1.2","0","1.2","38.06","6.31","","0","6.31","'26/03/17","","'26/04/14"
="00936","台新永續高息中小","04/10","17.96","+0.01","+0.06","26M04","月","0.1","0","0.1","17.96","6.68","","0","6.68","'26/04/17","","'26/05/08"
"00937B","群益ESG投等債20+","04/10","14.99","-0.03","-0.2","26M04","月","0.072","0","0.072","14.99","5.76","","0","5.76","'26/04/20","","'26/05/15"
="00938","凱基優選30","04/10","19.27","+0.13","+0.68","26Q1","季","0.2","0","0.2","19.7","4.06","","0","4.06","'26/02/26","","'26/03/25"
="00939","統一台灣高息動能","04/10","16.05","+0.13","+0.82","26M03","月","0.072","0","0.072","15.32","5.64","","0","5.64","'26/03/31","","'26/04/24"
="00940","元大台灣價值高息","04/10","9.84","+0.05","+0.51","26M04","月","0.045","0","0.045","9.82","5.5","","0","5.5","'26/04/09","","'26/05/04"
="00941","中信上游半導體","04/10","23.6","+0.48","+2.08","","無","0","0","0","","","","","","","",""
"00942B","台新美A公司債20+","04/10","14.54","-0.03","-0.21","26M04","月","0.062","0","0.062","14.54","5.12","","0","5.12","'26/04/17","","'26/05/08"
