"代號","名稱","股價日期","成交","漲跌價","漲跌幅","股利發放期別","股利發放頻率","現金股利","股票股利","合計股利","除息價","除息價年化現金殖利率","除權價","除權價年化股票殖利率","除權息年化合計殖利率","除息交易日","除權交易日","現金股利發放日"
="00661","元大日經225","04/10","73.6","+1.25","+1.73","2025","年","0","0","0","","0","","0","0","","",""
="00662","富邦NASDAQ","04/10","102.6","+1.1","+1.08","","無","0","0","0","","","","","","","",""
"00663L","國泰臺灣加權正2","04/10","68","+2.5","+3.82","","無","0","0","0","","","","","","","",""
"00664R","國泰臺灣加權反1","04/10","2.15","-0.04","-1.83","","無","0","0","0","","","","","","","",""
"00665L","富邦恒生國企正2","04/10","9.84","+0.01","+0.1","","無","0","0","0","","","","","","","",""
"00666R","富邦恒生國企反1","04/10","9.01","-0.09","-0.99","","無","0","0","0","","","","","","","",""
="00668","國泰美國道瓊","04/10","55.85","+0.4","+0.72","","無","0","0","0","","","","","","","",""
"00668K","國泰美國道瓊+U","04/10","17.66","+0.16","+0.91","","無","0","0","0","","","","","","","",""
"00669R","國泰美國道瓊反1","04/10","5.72","-0.05","-0.87","","無","0","0","0","","","","","","","",""
"00670L","富邦NASDAQ正2","04/10","153.35","+2.95","+1.96","","無","0","0","0","","","","","","","",""
"00671R","富邦NASDAQ反1","04/10","2.89","-0.03","-1.03","","無","0","0","0","","","","","","","",""
"00673R","期元大S&P原油反1","04/10","13.64","-0.09","-0.66","","無","0","0","0","","","","","","","",""
"00674R","期元大S&P黃金反1","04/10","5.2","-0.03","-0.57","","無","0","0","0","","","","","","","",""
"00675L","富邦臺灣加權正2","04/10","205.9","+7.15","+3.6","","無","0","0","0","","","","","","","",""
"00676R","富邦臺灣加權反1","04/10","7.29","-0.13","-1.75","","無","0","0","0","","","","","","","",""
="00678","群益那斯達克生技","04/10","36.23","+0.18","+0.5","","無","0","0","0","","","","","","","",""
"00679B","元大美債20年","04/10","27.23","-0.12","-0.44","26Q1","季","0.28","0","0.28","27.84","4.02","","0","4.02","'26/02/26","","'26/03/20"
"00680L","元大美債20正2","04/10","7.1","-0.04","-0.56","","無","0","0","0","","","","","","","",""
"00681R","元大美債20反1","04/10","20.91","+0.04","+0.19","","無","0","0","0","","","","","","","",""
"00682U","期元大美元指數","04/10","20.14","-0.24","-1.18","","無","0","0","0","","","","","","","",""
"00683L","期元大美元指正2","04/10","21.11","0","0","","無","0","0","0","","","","","","","",""
"00684R","期元大美元指反1","04/10","15.35","+0.01","+0.07","","無","0","0","0","","","","","","","",""
"00685L","群益臺灣加權正2","04/10","185.4","+6.55","+3.66","","無","0","0","0","","","","","","","",""
"00686R","群益臺灣加權反1","04/10","1.31","-0.02","-1.5","","無","0","0","0","","","","","","","",""
"00687B","國泰20年美債","04/10","28.29","-0.12","-0.42","26Q1","季","0.28","0","0.28","28.78","3.89","","0","3.89","'26/03/17","","'26/04/14"
"00687C","國泰20年美債+櫃U","04/10","9.41","0","0","","","","","","","","","","","","",""
"00688L","國泰20年美債正2","04/10","7.09","-0.05","-0.7","","無","0","0","0","","","","","","","",""
"00689R","國泰20年美債反1","04/10","21.81","+0.04","+0.18","","無","0","0","0","","","","","","","",""
="00690","兆豐藍籌30","04/10","56.15","+1.25","+2.28","26Q1","季","1.05","0","1.05","55.85","7.52","","0","7.52","'26/02/26","","'26/03/18"
="00692","富邦公司治理","04/10","71.1","+1.2","+1.72","25H2","半年","1.252","0","1.252","55.85","4.48","","0","4.48","'25/11/18","","'25/12/11"
"00693U","期街口S&P黃豆","04/10","22.04","+0.14","+0.64","","無","0","0","0","","","","","","","",""
"00694B","富邦美債1-3","04/10","42.03","-0.05","-0.12","26Q2","季","0.256","0","0.256","42.03","2.44","","0","2.44","'26/04/20","","'26/05/15"
"00695B","富邦美債7-10","04/10","35.81","-0.05","-0.14","26Q2","季","0.262","0","0.262","35.81","2.93","","0","2.93","'26/04/20","","'26/05/15"
"00696B","富邦美債20年","04/10","29.63","-0.09","-0.3","26Q2","季","0.275","0","0.275","29.63","3.71","","0","3.71","'26/04/20","","'26/05/15"
"00697B","元大美債7-10","04/10","36.06","-0.05","-0.14","26Q1","季","0.31","0","0.31","36.55","3.39","","0","3.39","'26/03/20","","'26/04/14"
="00700","富邦恒生國企","04/10","17.62","+0.04","+0.23","","無","0","0","0","","","","","","","",""
="00701","國泰股利精選30","04/10","29.32","-0.08","-0.27","26H1","半年","0.7","0","0.7","29.96","4.67","","0","4.67","'26/01/20","","'26/02/12"
="00702","國泰標普低波高息","04/10","23.87","+0.03","+0.13","26H1","半年","0.65","0","0.65","23.98","5.42","","0","5.42","'26/01/20","","'26/02/12"
="00703","台新MSCI中國","04/10","20.54","-0.02","-0.1","","無","0","0","0","","","","","","","",""
"00706L","期元大S&P日圓正2","04/10","19.45","-0.12","-0.61","","無","0","0","0","","","","","","","",""
"00707R","期元大S&P日圓反1","04/10","32.04","+0.07","+0.22","","無","0","0","0","","","","","","","",""
"00708L","期元大S&P黃金正2","04/10","101.35","+1.55","+1.55","","無","0","0","0","","","","","","","",""
="00709","富邦歐洲","04/10","38.33","+0.36","+0.95","","無","0","0","0","","","","","","","",""
"00710B","復華彭博非投等債","04/10","18.99","+0.02","+0.11","26Q1","季","0.3","0","0.3","19.03","6.31","","0","6.31","'26/03/18","","'26/04/15"
"00711B","復華彭博新興債","04/10","16.11","+0.03","+0.19","26Q1","季","0.2","0","0.2","16.28","4.91","","0","4.91","'26/03/18","","'26/04/15"
="00712","復華富時不動產","04/10","8.89","+0.07","+0.79","26Q1","季","0.19","0","0.19","8.99","8.45","","0","8.45","'26/03/18","","'26/04/15"
="00713","元大台灣高息低波","04/10","52.5","+0.1","+0.19","26Q1","季","0.78","0","0.78","52.5","5.94","","0","5.94","'26/03/20","","'26/04/14"
="00714","群益道瓊美國地產","04/10","21.02","+0.12","+0.57","26Q2","季","0.123","0","0.123","21.02","2.34","","0","2.34","'26/04/20","","'26/05/15"
"00715L","期街口布蘭特正2","04/10","48.73","-0.69","-1.4","","無","0","0","0","","","","","","","",""
="00717","富邦美國特別股","04/10","15.01","+0.03","+0.2","26Q2","季","0.141","0","0.141","15.01","3.76","","0","3.76","'26/04/20","","'26/05/15"
"00719B","元大美債1-3","04/10","31.39","+0.02","+0.06","26Q2","季","0.27","0","0.27","31.39","3.44","","0","3.44","'26/04/23","","'26/05/14"
"00720B","元大投資級公司債","04/10","33.66","0","0","26Q2","季","0.48","0","0.48","33.66","5.7","","0","5.7","'26/04/23","","'26/05/14"
"00722B","群益投資級電信債","04/10","36.8","-0.05","-0.14","26Q2","季","0.525","0","0.525","36.8","5.71","","0","5.71","'26/04/20","","'26/05/15"
"00723B","群益投資級科技債","04/10","31.37","-0.09","-0.29","26Q2","季","0.44","0","0.44","31.37","5.61","","0","5.61","'26/04/20","","'26/05/15"
"00724B","群益投資級金融債","04/10","34.34","+0.01","+0.03","26Q2","季","0.49","0","0.49","34.34","5.71","","0","5.71","'26/04/20","","'26/05/15"
"00725B","國泰投資級公司債","04/10","35.7","-0.05","-0.14","26Q2","季","0.49","0","0.49","35.7","5.49","","0","5.49","'26/04/20","","'26/05/15"
"00726B","國泰新興投等債","04/10","33.33","-0.01","-0.03","26Q1","季","0.5","0","0.5","33.77","5.92","","0","5.92","'26/01/27","","'26/02/26"
"00727B","國泰優選非投等債","04/10","40.29","-0.11","-0.27","26Q2","季","0.85","0","0.85","40.29","8.44","","0","8.44","'26/04/20","","'26/05/15"
="00728","第一金工業30","04/10","46.97","+0.37","+0.79","26Q1","季","0.52","0","0.52","46.13","4.51","","0","4.51","'26/03/19","","'26/04/14"
="00730","富邦臺灣優質高息","04/10","23.63","+0.44","+1.9","26M04","月","0.11","0","0.11","23.63","5.59","","0","5.59","'26/04/20","","'26/05/15"
="00731","復華富時高息低波","04/10","71.7","-0.15","-0.21","26Q1","季","0.752","0","0.752","75","4.01","","0","4.01","'26/03/03","","'26/03/27"
="00733","富邦臺灣中小","04/10","61.4","+1.65","+2.76","26H1","半年","0.578","0","0.578","61.4","1.88","","0","1.88","'26/04/20","","'26/05/15"
"00734B","台新JPM新興債","04/10","15.94","0","0","26Q2","季","0.16","0","0.16","15.94","4.02","","0","4.02","'26/04/17","","'26/05/08"
="00735","國泰臺韓科技","04/10","72.9","+1.25","+1.74","26H1","半年","1","0","1","60.3","3.32","","0","3.32","'26/01/20","","'26/02/12"
="00736","國泰新興市場","04/10","29.09","+0.19","+0.66","26H1","半年","0.3","0","0.3","29.21","2.05","","0","2.05","'26/01/20","","'26/02/12"
="00737","國泰AI機器人","04/10","33.06","-0.32","-0.96","","無","0","0","0","","","","","","","",""
"00738U","期元大道瓊白銀","04/10","61.7","+1.45","+2.41","","無","0","0","0","","","","","","","",""
="00739","元大MSCI A股","04/10","27.48","+0.37","+1.36","2025","年","0.9","0","0.9","26.22","3.43","","0","3.43","'25/10/23","","'25/11/14"
"00740B","富邦全球投等債","04/10","39.1","-0.05","-0.13","26M04","月","0.195","0","0.195","39.1","5.98","","0","5.98","'26/04/20","","'26/05/15"
"00741B","富邦全球非投等債","04/10","37.8","-0.12","-0.32","26M04","月","0.199","0","0.199","37.8","6.32","","0","6.32","'26/04/20","","'26/05/15"
"00746B","富邦A級公司債","04/10","36.25","0","0","26Q2","季","0.426","0","0.426","36.25","4.7","","0","4.7","'26/04/20","","'26/05/15"
"00749B","凱基新興債10+","04/10","32.11","-0.01","-0.03","26Q2","季","0.42","0","0.42","32.11","5.23","","0","5.23","'26/04/20","","'26/05/15"
"00750B","凱基科技債10+","04/10","33.64","-0.1","-0.3","26Q2","季","0.4","0","0.4","33.64","4.76","","0","4.76","'26/04/20","","'26/05/15"
"00751B","元大AAA至A公司債","04/10","32.1","-0.04","-0.12","26Q1","季","0.41","0","0.41","32.14","5.1","","0","5.1","'26/03/20","","'26/04/14"
="00752","中信中國50","04/10","24.25","-0.07","-0.29","","無","0","0","0","","","","","","","",""
"00753L","中信中國50正2","04/10","10.66","+0.02","+0.19","","無","0","0","0","","","","","","","",""
"00754B","群益AAA-AA公司債","04/10","34.28","-0.04","-0.12","26Q1","季","0.403","0","0.403","34.66","4.65","","0","4.65","'26/02/26","","'26/03/25"
"00755B","群益投資級公用債","04/10","33.31","+0.01","+0.03","26Q1","季","0.421","0","0.421","33.8","4.98","","0","4.98","'26/02/26","","'26/03/25"
"00756B","群益投等新興公債","04/10","31.75","+0.08","+0.25","26Q1","季","0.485","0","0.485","32.68","5.94","","0","5.94","'26/02/26","","'26/03/25"
="00757","統一FANG+","04/10","111.35","+1.45","+1.32","","無","0","0","0","","","","","","","",""
"00758B","復華能源債","04/10","52.1","-0.1","-0.19","26Q1","季","0.59","0","0.59","52.75","4.47","","0","4.47","'26/03/03","","'26/03/27"
"00759B","復華製藥債","04/10","55.35","+0.15","+0.27","26Q1","季","0.63","0","0.63","56.2","4.48","","0","4.48","'26/03/03","","'26/03/27"
"00760B","復華新興企業債","04/10","54.1","+0.1","+0.19","26Q1","季","0.71","0","0.71","55.65","5.1","","0","5.1","'26/03/03","","'26/03/27"
"00761B","國泰A級公司債","04/10","35.09","-0.04","-0.11","26Q1","季","0.41","0","0.41","35.51","4.62","","0","4.62","'26/02/26","","'26/03/23"
="00762","元大全球AI","04/10","85.6","+0.05","+0.06","","無","0","0","0","","","","","","","",""
"00763U","期街口道瓊銅","04/10","31.33","+0.31","+1","","無","0","0","0","","","","","","","",""
"00764B","群益25年美債","04/10","28.25","-0.12","-0.42","26Q1","季","0.32","0","0.32","28.8","4.44","","0","4.44","'26/03/17","","'26/04/14"
"00768B","復華20年美債","04/10","51.4","-0.15","-0.29","26Q1","季","0.86","0","0.86","53.8","6.39","","0","6.39","'26/03/03","","'26/03/27"
="00770","國泰北美科技","04/10","52.9","+0.15","+0.28","2026","年","4.2","0","4.2","57.95","7.25","","0","7.25","'26/01/20","","'26/02/12"
="00771","元大US高息特別股","04/10","16.09","0","0","26Q1","季","0.21","0","0.21","16.4","5.12","","0","5.12","'26/02/26","","'26/03/20"
"00772B","中信高評級公司債","04/10","34.23","-0.04","-0.12","26M04","月","0.14","0","0.14","34.23","4.91","","0","4.91","'26/04/20","","'26/05/15"
"00773B","中信優先金融債","04/10","36.25","+0.01","+0.03","26M04","月","0.145","0","0.145","36.25","4.8","","0","4.8","'26/04/20","","'26/05/15"
"00775B","新光投等債15+","04/10","32.6","-0.1","-0.31","26Q1","季","0.35","0","0.35","33.41","4.19","","0","4.19","'26/02/25","","'26/03/18"
"00777B","凱基AAA至A公司債","04/10","33.21","0","0","26M04","月","0.14","0","0.14","33.21","5.06","","0","5.06","'26/04/20","","'26/05/15"
"00778B","凱基金融債20+","04/10","34.83","+0.03","+0.09","26M04","月","0.138","0","0.138","34.83","4.75","","0","4.75","'26/04/20","","'26/05/15"
"00779B","凱基美債25+","04/10","28.66","-0.09","-0.31","26Q1","季","0.299","0","0.299","29.19","4.1","","0","4.1","'26/03/17","","'26/04/14"
"00780B","國泰A級金融債","04/10","37.85","-0.03","-0.08","26Q1","季","0.47","0","0.47","38.26","4.91","","0","4.91","'26/02/26","","'26/03/23"
"00781B","國泰A級科技債","04/10","29.02","-0.07","-0.24","26Q1","季","0.45","0","0.45","29.14","6.18","","0","6.18","'26/03/17","","'26/04/14"
"00782B","國泰A級公用債","04/10","31.13","-0.08","-0.26","26Q2","季","0.5","0","0.5","31.13","6.42","","0","6.42","'26/04/20","","'26/05/15"
="00783","富邦中証500","04/10","28.39","+0.41","+1.47","","無","0","0","0","","","","","","","",""
"00785B","富邦金融投等債","04/10","35.54","+0.03","+0.08","26Q2","季","0.434","0","0.434","35.54","4.88","","0","4.88","'26/04/20","","'26/05/15"
"00786B","元大10年IG銀行債","04/10","33.04","+0.13","+0.4","26Q1","季","0.38","0","0.38","33.79","4.5","","0","4.5","'26/02/26","","'26/03/20"
"00787B","元大10年IG醫療債","04/10","32.97","-0.01","-0.03","26Q1","季","0.41","0","0.41","33.05","4.96","","0","4.96","'26/03/20","","'26/04/14"
"00788B","元大10年IG電能債","04/10","30.47","+0.01","+0.03","26Q2","季","0.37","0","0.37","30.47","4.86","","0","4.86","'26/04/23","","'26/05/14"
"00789B","復華公司債A3","04/10","49.47","-0.04","-0.08","26Q2","季","0.65","0","0.65","49.47","5.26","","0","5.26","'26/04/21","","'26/05/18"
"00791B","復華信用債1-5","04/10","57.35","-0.1","-0.17","26Q2","季","0.6","0","0.6","57.35","4.18","","0","4.18","'26/04/21","","'26/05/18"
"00792B","群益A級公司債","04/10","32.1","+0.01","+0.03","26Q1","季","0.425","0","0.425","32.06","5.3","","0","5.3","'26/03/17","","'26/04/14"
"00793B","群益AAA-A醫療債","04/10","31.15","-0.02","-0.06","26Q1","季","0.395","0","0.395","31.16","5.07","","0","5.07","'26/03/17","","'26/04/14"
"00795B","中信美國公債20年","04/10","27.46","-0.09","-0.33","26Q1","季","0.26","0","0.26","28.06","3.71","","0","3.71","'26/02/26","","'26/03/25"
"00799B","國泰A級醫療債","04/10","30.2","-0.04","-0.13","26Q1","季","0.55","0","0.55","30.88","7.12","","0","7.12","'26/02/26","","'26/03/23"
="00830","國泰費城半導體","04/10","61.15","+1.8","+3.03","2026","年","9","0","9","64.9","13.9","","0","13.9","'26/01/20","","'26/02/12"
"00834B","第一金金融債10+","04/10","34.63","-0.06","-0.17","26Q2","季","0.372","0","0.372","34.63","4.3","","0","4.3","'26/04/22","","'26/05/15"
"00836B","永豐10年A公司債","04/10","29.13","+0.02","+0.07","26Q1","季","0.375","0","0.375","29.36","5.11","","0","5.11","'26/03/23","","'26/04/20"
"00840B","凱基IG精選15+","04/10","30.43","-0.07","-0.23","26M04","月","0.12","0","0.12","30.43","4.73","","0","4.73","'26/04/20","","'26/05/15"
"00841B","凱基AAA-AA公司債","04/10","29.65","0","0","26Q1","季","0.34","0","0.34","30.21","4.5","","0","4.5","'26/02/26","","'26/03/25"
"00842B","台新美元銀行債","04/10","31.39","-0.15","-0.48","26Q2","季","0.8","0","0.8","31.39","10.2","","0","10.2","'26/04/17","","'26/05/08"
"00844B","新光15年IG金融債","04/10","31.97","-0.08","-0.25","26Q1","季","0.33","0","0.33","32.89","4.01","","0","4.01","'26/02/25","","'26/03/18"
"00845B","富邦新興投等債","04/10","33.59","+0.05","+0.15","26Q1","季","0.379","0","0.379","34.22","4.43","","0","4.43","'26/02/25","","'26/03/20"
"00846B","富邦歐洲銀行債","04/10","36.32","-0.07","-0.19","26Q1","季","0.447","0","0.447","37.01","4.83","","0","4.83","'26/02/25","","'26/03/20"
"00847B","中信美國市政債","04/10","26.1","-0.04","-0.15","26Q1","季","0.35","0","0.35","26.69","5.25","","0","5.25","'26/02/26","","'26/03/25"
"00848B","中信新興亞洲債","04/10","34.78","-0.06","-0.17","26Q2","季","0.37","0","0.37","34.78","4.26","","0","4.26","'26/04/20","","'26/05/15"
"00849B","中信EM主權債0-5","04/10","37.58","-0.07","-0.19","26Q2","季","0.33","0","0.33","37.58","3.51","","0","3.51","'26/04/20","","'26/05/15"
="00850","元大臺灣ESG永續","04/10","66.8","+0.9","+1.37","26Q1","季","0.8","0","0.8","67.2","4.76","","0","4.76","'26/02/26","","'26/03/20"
="00851","台新全球AI","04/10","56.95","+0.3","+0.53","2025","年","1.7","0","1.7","56","3.04","","0","3.04","'25/10/17","","'25/11/07"
"00852L","國泰美國道瓊正2","04/10","29.89","+0.32","+1.08","","無","0","0","0","","","","","","","",""
"00853B","統一美債10年Aa-A","04/10","28.09","-0.01","-0.04","26Q1","季","0.347","0","0.347","28.03","4.95","","0","4.95","'26/03/17","","'26/04/10"
"00856B","永豐1-3年美公債","04/10","37.81","-0.05","-0.13","26Q1","季","0.335","0","0.335","38.3","3.5","","0","3.5","'26/03/23","","'26/04/20"
"00857B","永豐20年美公債","04/10","23.55","-0.09","-0.38","26Q1","季","0.25","0","0.25","24.03","4.16","","0","4.16","'26/03/23","","'26/04/20"
="00858","永豐美國500大","04/10","32.69","+0.21","+0.65","26H1","半年","1.4","0","1.4","34.14","8.2","","0","8.2","'26/01/20","","'26/02/13"
"00859B","群益0-1年美債","04/10","41.13","-0.06","-0.15","26Q1","季","0.614","0","0.614","42.02","5.84","","0","5.84","'26/03/17","","'26/04/14"
"00860B","群益1-5Y投資級債","04/10","38.32","-0.09","-0.23","26Q1","季","0.42","0","0.42","38.35","4.38","","0","4.38","'26/02/26","","'26/03/25"
="00861","元大全球未來通訊","04/10","69.65","+1.3","+1.9","","無","0","0","0","","","","","","","",""
"00862B","中信投資級公司債","04/10","31.94","-0.05","-0.16","26Q1","季","0.42","0","0.42","31.96","5.26","","0","5.26","'26/03/17","","'26/04/14"
"00863B","中信全球電信債","04/10","32.49","-0.03","-0.09","26Q1","季","0.38","0","0.38","32.53","4.67","","0","4.67","'26/03/17","","'26/04/14"
